t,x,y,heading,turret_yaw,pitch,target_x,target_y,target_z
1.2000,5.0000,6.4000,3.1416,-2.3829,0.3219,0.0000,0.0000,1.8300
1.2200,5.0000,6.3400,3.1416,-2.3890,0.3238,0.0000,0.0000,1.8300
1.2400,5.0000,6.2800,3.1416,-2.3953,0.3257,0.0000,0.0000,1.8300
1.2600,5.0000,6.2200,3.1416,-2.4016,0.3277,0.0000,0.0000,1.8300
1.2800,5.0000,6.1600,3.1416,-2.4079,0.3296,0.0000,0.0000,1.8300
1.3000,5.0000,6.1000,3.1416,-2.4144,0.3315,0.0000,0.0000,1.8300
1.3200,5.0000,6.0400,3.1416,-2.4209,0.3335,0.0000,0.0000,1.8300
1.3400,5.0000,5.9800,3.1416,-2.4275,0.3355,0.0000,0.0000,1.8300
1.3600,5.0000,5.9200,3.1416,-2.4341,0.3374,0.0000,0.0000,1.8300
1.3800,5.0000,5.8600,3.1416,-2.4409,0.3394,0.0000,0.0000,1.8300
1.4000,5.0000,5.8000,3.1416,-2.4477,0.3414,0.0000,0.0000,1.8300
1.4200,5.0000,5.7400,3.1416,-2.4546,0.3434,0.0000,0.0000,1.8300
1.4400,5.0000,5.6800,3.1416,-2.4615,0.3454,0.0000,0.0000,1.8300
1.4600,5.0000,5.6200,3.1416,-2.4686,0.3474,0.0000,0.0000,1.8300
1.4800,5.0000,5.5600,3.1416,-2.4757,0.3495,0.0000,0.0000,1.8300
1.5000,5.0000,5.5000,3.1416,-2.4829,0.3515,0.0000,0.0000,1.8300
1.5200,5.0000,5.4400,3.1416,-2.4901,0.3535,0.0000,0.0000,1.8300
1.5400,5.0000,5.3800,3.1416,-2.4975,0.3556,0.0000,0.0000,1.8300
1.5600,5.0000,5.3200,3.1416,-2.5049,0.3576,0.0000,0.0000,1.8300
1.5800,5.0000,5.2600,3.1416,-2.5124,0.3596,0.0000,0.0000,1.8300
1.6000,5.0000,5.2000,3.1416,-2.5200,0.3617,0.0000,0.0000,1.8300
1.6200,5.0000,5.1400,3.1416,-2.5276,0.3637,0.0000,0.0000,1.8300
1.6400,5.0000,5.0800,3.1416,-2.5354,0.3658,0.0000,0.0000,1.8300
1.6600,5.0000,5.0200,3.1416,-2.5432,0.3678,0.0000,0.0000,1.8300
1.6800,5.0000,4.9600,3.1416,-2.5511,0.3698,0.0000,0.0000,1.8300
1.7000,5.0000,4.9000,3.1416,-2.5590,0.3719,0.0000,0.0000,1.8300
1.7200,5.0000,4.8400,3.1416,-2.5671,0.3739,0.0000,0.0000,1.8300
1.7400,5.0000,4.7800,3.1416,-2.5752,0.3760,0.0000,0.0000,1.8300
1.7600,5.0000,4.7200,3.1416,-2.5835,0.3780,0.0000,0.0000,1.8300
1.7800,5.0000,4.6600,3.1416,-2.5918,0.3800,0.0000,0.0000,1.8300
1.8000,5.0000,4.6000,3.1416,-2.6001,0.3821,0.0000,0.0000,1.8300
1.8200,5.0000,4.5400,3.1416,-2.6086,0.3841,0.0000,0.0000,1.8300
1.8400,5.0000,4.4800,3.1416,-2.6171,0.3862,0.0000,0.0000,1.8300
1.8600,5.0000,4.4200,3.1416,-2.6258,0.3882,0.0000,0.0000,1.8300
1.8800,5.0000,4.3600,3.1416,-2.6345,0.3902,0.0000,0.0000,1.8300
1.9000,5.0000,4.3000,3.1416,-2.6432,0.3922,0.0000,0.0000,1.8300
1.9200,5.0000,4.2400,3.1416,-2.6521,0.3942,0.0000,0.0000,1.8300
1.9400,5.0000,4.1800,3.1416,-2.6610,0.3961,0.0000,0.0000,1.8300
1.9600,5.0000,4.1200,3.1416,-2.6700,0.3981,0.0000,0.0000,1.8300
1.9800,5.0000,4.0600,3.1416,-2.6791,0.4001,0.0000,0.0000,1.8300
2.0000,5.0000,4.0000,3.1416,-2.6883,0.4020,0.0000,0.0000,1.8300
2.0200,5.0000,3.9400,3.1416,-2.6976,0.4039,0.0000,0.0000,1.8300
2.0400,5.0000,3.8800,3.1416,-2.7069,0.4058,0.0000,0.0000,1.8300
2.0600,5.0000,3.8200,3.1416,-2.7163,0.4077,0.0000,0.0000,1.8300
2.0800,5.0000,3.7600,3.1416,-2.7258,0.4096,0.0000,0.0000,1.8300
2.1000,5.0000,3.7000,3.1416,-2.7353,0.4115,0.0000,0.0000,1.8300
2.1200,5.0000,3.6400,3.1416,-2.7450,0.4133,0.0000,0.0000,1.8300
2.1400,5.0000,3.5800,3.1416,-2.7547,0.4151,0.0000,0.0000,1.8300
2.1600,5.0000,3.5200,3.1416,-2.7644,0.4169,0.0000,0.0000,1.8300
2.1800,5.0000,3.4600,3.1416,-2.7743,0.4187,0.0000,0.0000,1.8300
2.2000,5.0000,3.4000,3.1416,-2.7842,0.4204,0.0000,0.0000,1.8300
2.2200,5.0000,3.3400,3.1416,-2.7942,0.4221,0.0000,0.0000,1.8300
2.2400,5.0000,3.2800,3.1416,-2.8042,0.4238,0.0000,0.0000,1.8300
2.2600,5.0000,3.2200,3.1416,-2.8143,0.4254,0.0000,0.0000,1.8300
2.2800,5.0000,3.1600,3.1416,-2.8245,0.4271,0.0000,0.0000,1.8300
2.3000,5.0000,3.1000,3.1416,-2.8347,0.4287,0.0000,0.0000,1.8300
2.3200,5.0000,3.0400,3.1416,-2.8450,0.4302,0.0000,0.0000,1.8300
2.3400,5.0000,2.9800,3.1416,-2.8554,0.4317,0.0000,0.0000,1.8300
2.3600,5.0000,2.9200,3.1416,-2.8658,0.4333,0.0000,0.0000,1.8300
2.3800,5.0000,2.8600,3.1416,-2.8762,0.4347,0.0000,0.0000,1.8300
2.4000,5.0000,2.8000,3.1416,-2.8868,0.4361,0.0000,0.0000,1.8300
2.4200,5.0000,2.7400,3.1416,-2.8973,0.4375,0.0000,0.0000,1.8300
2.4400,5.0000,2.6800,3.1416,-2.9079,0.4388,0.0000,0.0000,1.8300
2.4600,5.0000,2.6200,3.1416,-2.9186,0.4401,0.0000,0.0000,1.8300
2.4800,5.0000,2.5600,3.1416,-2.9293,0.4414,0.0000,0.0000,1.8300
2.5000,5.0000,2.5000,3.1416,-2.9401,0.4426,0.0000,0.0000,1.8300
2.5200,5.0000,2.4400,3.1416,-2.9508,0.4437,0.0000,0.0000,1.8300
2.5400,5.0000,2.3800,3.1416,-2.9617,0.4448,0.0000,0.0000,1.8300
2.5600,5.0000,2.3200,3.1416,-2.9725,0.4459,0.0000,0.0000,1.8300
2.5800,5.0000,2.2600,3.1416,-2.9834,0.4469,0.0000,0.0000,1.8300
2.6000,5.0000,2.2000,3.1416,-2.9943,0.4479,0.0000,0.0000,1.8300
2.6200,5.0000,2.1400,3.1416,-3.0053,0.4488,0.0000,0.0000,1.8300
2.6400,5.0000,2.0800,3.1416,-3.0163,0.4496,0.0000,0.0000,1.8300
2.6600,5.0000,2.0200,3.1416,-3.0273,0.4505,0.0000,0.0000,1.8300
2.6800,5.0000,1.9600,3.1416,-3.0383,0.4512,0.0000,0.0000,1.8300
2.7000,5.0000,1.9000,3.1416,-3.0493,0.4519,0.0000,0.0000,1.8300
2.7200,5.0000,1.8400,3.1416,-3.0603,0.4525,0.0000,0.0000,1.8300
2.7400,5.0000,1.7800,3.1416,-3.0714,0.4531,0.0000,0.0000,1.8300
2.7600,5.0000,1.7200,3.1416,-3.0825,0.4536,0.0000,0.0000,1.8300
2.7800,5.0000,1.6600,3.1416,-3.0935,0.4541,0.0000,0.0000,1.8300
2.8000,5.0000,1.6000,3.1416,-3.1046,0.4545,0.0000,0.0000,1.8300
2.8200,5.0000,1.5400,3.1416,-3.1157,0.4548,0.0000,0.0000,1.8300
2.8400,5.0000,1.4800,3.1416,-3.1267,0.4551,0.0000,0.0000,1.8300
2.8600,5.0000,1.4200,3.1416,-3.1378,0.4553,0.0000,0.0000,1.8300
2.8800,5.0000,1.3600,3.1416,3.1329,0.4552,0.0000,0.0000,1.8300
2.9000,5.0000,1.3000,3.1416,3.1196,0.4550,0.0000,0.0000,1.8300
2.9200,5.0000,1.2400,3.1416,3.1063,0.4548,0.0000,0.0000,1.8300
