distance_m,pitch_rad,pitch_deg,velocity_mps,rpm,rps,tof_s,apex_m
5.3500,0.42911377,24.5864,12.633619,3958.08,65.9679,0.499244,1.7788
5.4000,0.42548828,24.3787,12.739890,3991.37,66.5229,0.499178,1.7788
5.4500,0.42458191,24.3268,12.766946,3999.85,66.6641,0.502839,1.7789
5.5000,0.42464905,24.3306,12.766787,3999.80,66.6633,0.507798,1.7792
5.5500,0.42471619,24.3344,12.767372,3999.98,66.6663,0.512732,1.7797
5.6000,0.42488403,24.3441,12.766739,3999.78,66.6630,0.517747,1.7805
5.6500,0.42505188,24.3537,12.767104,3999.90,66.6650,0.522729,1.7814
5.7000,0.42525330,24.3652,12.767323,3999.97,66.6661,0.527730,1.7825
5.7500,0.42552185,24.3806,12.767396,3999.99,66.6665,0.532764,1.7840
5.8000,0.42582397,24.3979,12.767201,3999.93,66.6655,0.537823,1.7856
5.8500,0.42615967,24.4172,12.767152,3999.91,66.6652,0.542893,1.7875
5.9000,0.42656250,24.4402,12.766592,3999.74,66.6623,0.548011,1.7896
5.9500,0.42696533,24.4633,12.766653,3999.76,66.6626,0.553109,1.7918
6.0000,0.42740173,24.4883,12.767043,3999.88,66.6646,0.558211,1.7942
6.0500,0.42790527,24.5172,12.766665,3999.76,66.6627,0.563373,1.7969
6.1000,0.42840881,24.5460,12.766848,3999.82,66.6636,0.568518,1.7997
6.1500,0.42897949,24.5787,12.766653,3999.76,66.6626,0.573709,1.8028
6.2000,0.42955017,24.6114,12.767177,3999.92,66.6653,0.578876,1.8060
6.2500,0.43015442,24.6460,12.767384,3999.98,66.6664,0.584074,1.8093
6.3000,0.43082581,24.6845,12.767323,3999.97,66.6661,0.589317,1.8130
6.3500,0.43153076,24.7249,12.766994,3999.86,66.6644,0.594589,1.8168
6.4000,0.43223572,24.7653,12.767226,3999.94,66.6656,0.599845,1.8207
6.4500,0.43300781,24.8095,12.767128,3999.90,66.6651,0.605148,1.8249
6.5000,0.43381348,24.8557,12.766739,3999.78,66.6630,0.610485,1.8292
