pitch_offset_deg,velocity_offset_pct,pitch_deg,velocity_mps,impact_x_m,impact_y_m,impact_z_m,horiz_miss_m,vert_miss_m,opt_pitch_deg,opt_velocity_mps,distance_m
0.0,0,26.14627013528363,11.893769989120724,0.0,0.0,1.8288,0.0,0.0,26.14627013528363,11.893769989120724,5.0
-3.0,-10,23.14627013528363,10.704392990208651,7.632783294297951e-17,-6.123233995736765e-16,1.2570668726528682,6.170623013499007e-16,-0.5717331273471318,26.14627013528363,11.893769989120724,5.0
-3.0,-8,23.14627013528363,10.942268389991066,2.0816681711721685e-17,-6.123233995736764e-16,1.3163199418506653,6.126771416520705e-16,-0.5124800581493347,26.14627013528363,11.893769989120724,5.0
-3.0,-6,23.14627013528363,11.18014378977348,-1.1796119636642288e-16,-6.123233995736769e-16,1.3717948228010945,6.23582223538855e-16,-0.45700517719890543,26.14627013528363,11.893769989120724,5.0
-3.0,-4,23.14627013528363,11.418019189555894,-1.3183898417423734e-16,-6.123233995736763e-16,1.4238584681823196,6.263557003920048e-16,-0.40494153181768033,26.14627013528363,11.893769989120724,5.0
-3.0,-2,23.14627013528363,11.65589458933831,-1.3877787807814457e-16,-6.123233995736767e-16,1.4727771326863535,6.278528849255508e-16,-0.3560228673136465,26.14627013528363,11.893769989120724,5.0
-3.0,0,23.14627013528363,11.893769989120724,-1.734723475976807e-17,-6.123233995736767e-16,1.5187959081480844,6.125690754676366e-16,-0.3100040918519156,26.14627013528363,11.893769989120724,5.0
-3.0,2,23.14627013528363,12.131645388903138,2.255140518769849e-16,-6.123233995736767e-16,1.5621407929669788,6.525308676679135e-16,-0.26665920703302115,26.14627013528363,11.893769989120724,5.0
-3.0,4,23.14627013528363,12.369520788685554,2.7755575615628914e-16,-6.123233995736763e-16,1.6030205209193475,6.722924538033678e-16,-0.22577947908065243,26.14627013528363,11.893769989120724,5.0
-3.0,6,23.14627013528363,12.607396188467968,3.8228968601838886e-16,-6.123233995736758e-16,1.641623739561256,7.218624174325062e-16,-0.1871762604387439,26.14627013528363,11.893769989120724,5.0
-3.0,8,23.14627013528363,12.845271588250382,-6.591949208711867e-17,-6.123233995736766e-16,1.6780642014560108,6.158614495992488e-16,-0.15073579854398922,26.14627013528363,11.893769989120724,5.0
-3.0,10,23.14627013528363,13.083146988032798,2.7755575615628914e-16,-6.123233995736763e-16,1.7125623787635313,6.722924538033678e-16,-0.11623762123646864,26.14627013528363,11.893769989120724,5.0
-2.5,-10,23.64627013528363,10.704392990208651,9.020562075079397e-17,-6.12323399573677e-16,1.298091649526988,6.189321446495577e-16,-0.5307083504730119,26.14627013528363,11.893769989120724,5.0
-2.5,-8,23.64627013528363,10.942268389991066,1.8735013540549517e-16,-6.123233995736769e-16,1.3577728647904463,6.403436724930778e-16,-0.47102713520955364,26.14627013528363,11.893769989120724,5.0
-2.5,-6,23.64627013528363,11.18014378977348,-1.4224732503009818e-16,-6.123233995736776e-16,1.4137117447074061,6.286288627987773e-16,-0.41508825529259386,26.14627013528363,11.893769989120724,5.0
-2.5,-4,23.64627013528363,11.418019189555894,3.885780586188048e-16,-6.123233995736765e-16,1.4661925649202272,7.252122815461854e-16,-0.3626074350797728,26.14627013528363,11.893769989120724,5.0
-2.5,-2,23.64627013528363,11.65589458933831,-3.3306690738754696e-16,-6.123233995736769e-16,1.5154819828564399,6.970462756963627e-16,-0.3133180171435601,26.14627013528363,11.893769989120724,5.0
-2.5,0,23.64627013528363,11.893769989120724,2.7755575615628914e-16,-6.123233995736767e-16,1.5618575011865623,6.722924538033682e-16,-0.2669424988134377,26.14627013528363,11.893769989120724,5.0
-2.5,2,23.64627013528363,12.131645388903138,-1.5265566588595902e-16,-6.123233995736767e-16,1.6055459003976968,6.310655259103845e-16,-0.22325409960230314,26.14627013528363,11.893769989120724,5.0
-2.5,4,23.64627013528363,12.369520788685554,-1.474514954580286e-16,-6.123233995736764e-16,1.646719429039575,6.298268723850017e-16,-0.18208057096042496,26.14627013528363,11.893769989120724,5.0
-2.5,6,23.64627013528363,12.607396188467968,6.591949208711867e-17,-6.123233995736764e-16,1.6855898607130846,6.1586144959924865e-16,-0.1432101392869154,26.14627013528363,11.893769989120724,5.0
-2.5,8,23.64627013528363,12.845271588250382,1.8041124150158794e-16,-6.123233995736771e-16,1.7223398877423894,6.383479942207146e-16,-0.10646011225761054,26.14627013528363,11.893769989120724,5.0
