t,x,y,z,vx,vy,vz,horiz_dist,speed
0.0,5.0,2.0,0.5,-11.318269706004816,-4.397733136359152,5.257937178652892,0.0,13.232127162748927
0.005,4.943454288933731,1.9780290668331406,0.5261459676222294,-11.300028993192441,-4.390645676062705,5.200469650860384,0.060664152052200965,13.19141043593284
0.01,4.886999567934147,1.956093488012991,0.5520048935296699,-11.281873560953033,-4.3835913516793745,5.143120336102126,0.12123068688221969,13.150978327693972
0.015,4.830635412370016,1.9341930985483564,0.5775773664458703,-11.263802701437525,-4.376569888173192,5.085888299306958,0.18170006004880884,13.110830449517795
0.02,4.774361401137342,1.912327734818556,0.6028639704426271,-11.24581571159052,-4.369581012370775,5.028772614832402,0.24207272332658425,13.070966423888317
0.025,4.718177116635541,1.8904972345641653,0.6278652849869396,-11.227911893093024,-4.362624452939078,4.971772366389805,0.30234912473158054,13.031385884073844
0.030000000000000002,4.662082144743902,1.868701436877871,0.6525818849875948,-11.210090552306077,-4.3556999403634915,4.914886646970707,0.3625297085465092,12.99208847391194
0.035,4.606076074798324,1.8469401821954308,0.677014340841387,-11.192351000215286,-4.34880720692629,4.858114558774415,0.42261491534571244,12.953073847593478
0.04,4.5501584995683295,1.8252133122867435,0.7011632184789776,-11.174692552376227,-4.341945986685417,4.801455213136771,0.4826051820198246,12.914341669445818
0.045,4.494329015234351,1.8035206702470226,0.7250290794104022,-11.157114528860731,-4.335116015453615,4.744907730460087,0.5425009418001413,12.87589161371505
0.049999999999999996,4.438587221365282,1.7818621004880733,0.7486124807702306,-11.139616254204038,-4.328317030777889,4.688471240144222,0.6023026242827028,12.837723364347287
0.05499999999999999,4.382932720896288,1.7602374487296728,0.771913975362384,-11.122197057352789,-4.321548771919306,4.632144880518799,0.6620106554520969,12.799836614768987
0.05999999999999999,4.327365120106882,1.738646561991049,0.7949341117046174,-11.104856271613889,-4.314810979833117,4.575927798776518,0.7216254577049841,12.762231067666281
0.06499999999999999,4.271884028599246,1.717089288582459,0.8176734340726697,-11.087593234604189,-4.308103397149214,4.519819150907569,0.7811474498733535,12.724906434763282
0.06999999999999999,4.216489059276804,1.6955654780968639,0.8401324825440901,-11.070407288201014,-4.301425768152899,4.4638181016351135,0.8405770472475075,12.687862436599366
0.075,4.161179828323046,1.674074981401699,0.8623117930417434,-11.053297778493507,-4.2947778387659845,4.407923824351811,0.8999146615987856,12.651098802305404
0.08,4.105955955180588,1.6526176506307386,0.8842118973770015,-11.03626405573478,-4.288159356528204,4.35213550105739,0.9591607012020262,12.614615269378925
0.085,4.050817062530464,1.6311933391760514,0.9058333232926239,-11.019305474294894,-4.281570070578933,4.296452322297224,1.0183155708577811,12.578411583458221
0.09000000000000001,3.995762776271665,1.609801901680047,0.9271765945053355,-11.002421392614622,-4.2750097316392335,4.240873487101911,1.0773796719142705,12.542487498095342
0.09500000000000001,3.9407927255008968,1.5884431940276136,0.948242230748103,-10.98561117316,-4.268478091994188,4.185398202927824,1.136353402289099,12.506842774528016
0.10000000000000002,3.885906542492563,1.5671170733383388,0.9690307478121173,-10.968874182377688,-4.261974905475558,4.130025685598626,1.1952371564907276,12.471477181450462
0.10500000000000002,3.8311038626789755,1.5458233979588212,0.9895426575884858,-10.952209790651077,-4.2554999274447285,4.074755159247726,1.2540313256397078,12.436390494783097
0.11000000000000003,3.7763843246307762,1.5245620274550629,1.0097784681096393,-10.935617372257195,-4.249052914775963,4.019585856261659,1.3127362974896832,12.401582497441133
0.11500000000000003,3.721747570037577,1.5033328226049472,1.0297386835904576,-10.919096305324352,-4.24263362583995,3.9645170172243716,1.371352456448162,12.36705297910207
0.12000000000000004,3.6671932436888057,1.4821356453907961,1.0494238044691195,-10.90264597179057,-4.236241820487645,3.9095478908623957,1.4298801835970643,12.33280173597209
0.12500000000000003,3.612720993454763,1.4609703589920098,1.0688343274476806,-10.886265757362734,-4.229877260034403,3.854677733990897,1.4883198567130465,12.298828570551334
0.13000000000000003,3.558330470267874,1.4398368277777829,1.0879707455323826,-10.869955051476511,-4.223539707244404,3.799905811460574,1.5466718502876122,12.265133291398088
0.13500000000000004,3.5040213281041486,1.418734917299899,1.1068335480737006,-10.85371324725699,-4.217228926315359,3.745231396105397,1.6049365355470075,12.231715712891894
0.14000000000000004,3.4497932239648255,1.3976644942856011,1.1254232208061306,-10.837539741480064,-4.210944682863504,3.6906537686911625,1.6631142804719075,12.198575654995565
0.14500000000000005,3.395645817858218,1.3766254266305347,1.1437402458877215,-10.821433934534527,-4.2046867439088755,3.6361722178648574,1.7212054498168976,12.165712943016151
0.15000000000000005,3.34157877278174,1.355617583391766,1.161785101939356,-10.805395230384898,-4.198454877860864,3.581786040104803,1.7792104051297548,12.133127407364848
0.15500000000000005,3.2875917547041196,1.3346408347808711,1.1795582640837838,-10.789423036534952,-4.192248854504044,3.5274945396715727,1.8371295047705298,12.100818883315887
0.16000000000000006,3.2336844325477925,1.3136950521570934,1.1970602039844134,-10.773516763991958,-4.186068444984277,3.4732970285596587,1.894963103930435,12.068787210764393
0.16500000000000006,3.179856478171473,1.2927801080205723,1.2142913898838603,-10.75767582723162,-4.179913421795091,3.4191928264498794,1.9527115546505447,12.037032233983284
0.17000000000000007,3.126107566352897,1.271895876005639,1.2312522866422624,-10.741899644163706,-4.173783558764328,3.3651812606625042,2.010375205840307,12.00555380137917
0.17500000000000007,3.072437374771737,1.251042230874176,1.2479433557753612,-10.726187636098365,-4.167678631041054,3.311261666111081,2.0679544032958765,11.974351765247352
