distance_m,v_radial_mps,delta_pitch_rad,delta_rpm,delta_vel_mps,tof_s
2.75000000,1.00000000,-0.08446045,266.30401611,0.85000464,0.50339002
2.75000000,1.50000000,-0.12095032,407.35244751,1.30021122,0.50290442
2.75000000,2.00000000,-0.15415039,552.97470093,1.76501680,0.50241554
2.75000000,2.50000000,-0.18442993,702.81219482,2.24327682,0.50191448
2.75000000,3.00000000,-0.21209106,856.41860962,2.73356671,0.50142541
3.00000000,-3.00000000,0.34378357,-670.55511475,-2.14031680,0.50656417
3.00000000,-2.50000000,0.27211304,-580.38330078,-1.85250116,0.50614827
3.00000000,-2.00000000,0.20665283,-480.17883301,-1.53266271,0.50569051
3.00000000,-1.50000000,0.14716797,-371.13952637,-1.18462472,0.50525509
3.00000000,-1.00000000,0.09318848,-254.15802002,-0.81123634,0.50478131
3.00000000,-0.50000000,0.04431152,-130.24139404,-0.41571205,0.50433373
3.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50385227
3.00000000,0.50000000,-0.04018250,135.86044312,0.43364726,0.50336508
3.00000000,1.00000000,-0.07667236,276.74102783,0.88331810,0.50288041
3.00000000,1.50000000,-0.10987244,422.18017578,1.34753923,0.50239504
3.00000000,2.00000000,-0.14011841,571.64382935,1.82460601,0.50193852
3.00000000,2.50000000,-0.16781311,725.21972656,2.31479848,0.50141654
3.00000000,3.00000000,-0.19315796,882.17544556,2.81577887,0.50092736
3.25000000,-3.00000000,0.31212769,-715.33584595,-2.28325054,0.50614502
3.25000000,-2.50000000,0.24673462,-615.28015137,-1.96388696,0.50570937
3.25000000,-2.00000000,0.18728333,-506.37435913,-1.61627512,0.50527192
3.25000000,-1.50000000,0.13333740,-389.55307007,-1.24339814,0.50480451
3.25000000,-1.00000000,0.08446045,-265.73944092,-0.84820260,0.50433624
3.25000000,-0.50000000,0.04014893,-135.61248779,-0.43285582,0.50384023
3.25000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50337936
3.25000000,0.50000000,-0.03648987,140.73181152,0.44919598,0.50288837
3.25000000,1.00000000,-0.06968994,286.01074219,0.91290571,0.50239954
3.25000000,1.50000000,-0.09993591,435.29510498,1.38940022,0.50194310
3.25000000,2.00000000,-0.12763062,588.68026733,1.87898390,0.50142288
3.25000000,2.50000000,-0.15297546,745.43380737,2.37931896,0.50093688
3.25000000,3.00000000,-0.17627258,905.62438965,2.89062458,0.50042288
3.50000000,-3.00000000,0.28305664,-755.16128540,-2.41036769,0.50572080
3.50000000,-2.50000000,0.22363892,-646.34323120,-2.06303590,0.50526692
3.50000000,-2.00000000,0.16972656,-529.63256836,-1.69051202,0.50479297
3.50000000,-1.50000000,0.12088318,-405.96389771,-1.29577917,0.50432791
3.50000000,-1.00000000,0.07660522,-276.01242065,-0.88099249,0.50384196
3.50000000,-0.50000000,0.03648987,-140.61737061,-0.44883070,0.50339863
3.50000000,0.00000000,0.00000000,0.00000000,0.00000000,0.50289301
3.50000000,0.50000000,-0.03316650,144.99282837,0.46279654,0.50243211
3.50000000,1.00000000,-0.06344604,294.30007935,0.93936410,0.50192954
3.50000000,1.50000000,-0.09110718,447.34191895,1.42785194,0.50144433
3.50000000,2.00000000,-0.11645203,603.91616821,1.92761474,0.50095635
3.50000000,2.50000000,-0.13974915,763.91601562,2.43831155,0.50044204
3.50000000,3.00000000,-0.16119995,927.02484131,2.95893178,0.49992447
3.75000000,-3.00000000,0.25663757,-790.55786133,-2.52334854,0.50526169
3.75000000,-2.50000000,0.20279236,-674.00741577,-2.15133605,0.50480867
3.75000000,-2.00000000,0.15398254,-550.45318604,-1.75696848,0.50433794
3.75000000,-1.50000000,0.10973816,-420.65048218,-1.34265666,0.50385518
