distance_m,v_radial_mps,delta_pitch_rad,delta_rpm,delta_vel_mps,tof_s
8.25000000,2.50000000,0.10628052,-0.00381470,-0.00001218,1.11034612
8.25000000,3.00000000,0.13951416,0.03433228,0.00010958,1.18927625
8.50000000,-3.00000000,-0.06277466,-0.12588501,-0.00040181,0.55509314
8.50000000,-2.50000000,-0.05777283,-0.19836426,-0.00063315,0.59895492
8.50000000,-2.00000000,-0.05045471,-0.03433228,-0.00010958,0.64419487
8.50000000,-1.50000000,-0.04095459,-0.04577637,-0.00014611,0.69104687
8.50000000,-1.00000000,-0.02937317,-0.08773804,-0.00028005,0.73969901
8.50000000,-0.50000000,-0.01574402,-0.08392334,-0.00026787,0.79040059
8.50000000,0.00000000,0.00000000,0.00000000,0.00000000,0.84350195
8.50000000,0.50000000,0.01806030,-0.06484985,-0.00020699,0.89955409
8.50000000,1.00000000,0.03867188,-0.04577637,-0.00014611,0.95916350
8.50000000,1.50000000,0.06237183,-0.06103516,-0.00019482,1.02339969
8.50000000,2.00000000,0.08996582,0.03051758,0.00009741,1.09382809
8.50000000,2.50000000,0.12309875,0.03814697,0.00012176,1.17346993
8.50000000,3.00000000,0.16536255,-0.00762939,-0.00002435,1.26880171
8.75000000,-3.00000000,-0.07167053,-0.11062622,-0.00035310,0.57069124
8.75000000,-2.50000000,-0.06556091,0.04196167,0.00013394,0.61675675
8.75000000,-2.00000000,-0.05696716,-0.09536743,-0.00030440,0.66447757
8.75000000,-1.50000000,-0.04612427,0.04196167,0.00013394,0.71394204
8.75000000,-1.00000000,-0.03303223,-0.01525879,-0.00004870,0.76551281
8.75000000,-0.50000000,-0.01769104,-0.06484985,-0.00020699,0.81949669
8.75000000,0.00000000,0.00000000,0.00000000,0.00000000,0.87632767
8.75000000,0.50000000,0.02034302,-0.03814697,-0.00012176,0.93673083
8.75000000,1.00000000,0.04377441,-0.02670288,-0.00008523,1.00164169
8.75000000,1.50000000,0.07106628,0.00381470,0.00001218,1.07259280
8.75000000,2.00000000,0.10369568,0.03433228,0.00010958,1.15231690
8.75000000,2.50000000,0.14485168,0.03051758,0.00009741,1.24658831
8.75000000,3.00000000,0.00000000,0.00000000,0.00000000,0.87632767
9.00000000,-3.00000000,-0.08113708,-0.08773804,-0.00028005,0.58609641
9.00000000,-2.50000000,-0.07381897,-0.17547607,-0.00056009,0.63457069
9.00000000,-2.00000000,-0.06398315,-0.00762939,-0.00002435,0.68479002
9.00000000,-1.50000000,-0.05169678,-0.04577637,-0.00014611,0.73710085
9.00000000,-1.00000000,-0.03699341,-0.16021729,-0.00051139,0.79182054
9.00000000,-0.50000000,-0.01983948,-0.07629395,-0.00024352,0.84932502
9.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.91028249
9.00000000,0.50000000,0.02296143,-0.06484985,-0.00020699,0.97565800
9.00000000,1.00000000,0.04971619,-0.08392334,-0.00026787,1.04681748
9.00000000,1.50000000,0.08153992,-0.04959106,-0.00015829,1.12618171
9.00000000,2.00000000,0.12115173,-0.02670288,-0.00008523,1.21870376
9.00000000,2.50000000,0.17620544,0.00000000,0.00000000,1.33811557
9.00000000,3.00000000,0.00000000,0.00000000,0.00000000,0.91028249
9.25000000,-3.00000000,-0.09130859,-0.03433228,-0.00010958,0.60125073
9.25000000,-2.50000000,-0.08278198,-0.16784668,-0.00053574,0.65221811
9.25000000,-2.00000000,-0.07160339,-0.08392334,-0.00026787,0.70516500
9.25000000,-1.50000000,-0.05780640,-0.13351440,-0.00042616,0.76048788
9.25000000,-1.00000000,-0.04142456,0.00381470,0.00001218,0.81853013
9.25000000,-0.50000000,-0.02225647,-0.04577637,-0.00014611,0.87996359
9.25000000,0.00000000,0.00000000,0.00000000,0.00000000,0.94556264
9.25000000,0.50000000,0.02598267,-0.07247925,-0.00023134,1.01667455
9.25000000,1.00000000,0.05673218,0.00000000,0.00000000,1.09533422
9.25000000,1.50000000,0.09456482,-0.03051758,-0.00009741,1.18577983
9.25000000,2.00000000,0.14512024,-0.02288818,-0.00007306,1.29819617
9.25000000,2.50000000,0.00000000,0.00000000,0.00000000,0.94556264
9.25000000,3.00000000,0.00000000,0.00000000,0.00000000,0.94556264
9.50000000,-3.00000000,-0.10231934,-0.01907349,-0.00006088,0.61609258
9.50000000,-2.50000000,-0.09258423,0.01907349,0.00006088,0.66964349
9.50000000,-2.00000000,-0.07999573,0.03051758,0.00009741,0.72548908
9.50000000,-1.50000000,-0.06462097,0.01907349,0.00006088,0.78401911
9.50000000,-1.00000000,-0.04635925,0.01144409,0.00003653,0.84577975
9.50000000,-0.50000000,-0.02497559,-0.06866455,-0.00021917,0.91153938
9.50000000,0.00000000,0.00000000,0.00000000,0.00000000,0.98237786
9.50000000,0.50000000,0.02954102,-0.02670288,-0.00008523,1.06022942
9.50000000,1.00000000,0.06539307,0.01907349,0.00006088,1.14839221
9.50000000,1.50000000,0.11178589,0.03814697,0.00012176,1.25453174
9.50000000,2.00000000,0.00000000,0.00000000,0.00000000,0.98237786
9.50000000,2.50000000,0.00000000,0.00000000,0.00000000,0.98237786
9.50000000,3.00000000,0.00000000,0.00000000,0.00000000,0.98237786
9.75000000,-3.00000000,-0.11430359,-0.12588501,-0.00040181,0.63054183
9.75000000,-2.50000000,-0.10329285,-0.19073486,-0.00060880,0.68687967
9.75000000,-2.00000000,-0.08926086,-0.06484985,-0.00020699,0.74577158
9.75000000,-1.50000000,-0.07217407,-0.14114380,-0.00045051,0.80779242
9.75000000,-1.00000000,-0.05193176,-0.04196167,-0.00013394,0.87353451
9.75000000,-0.50000000,-0.02813110,0.00381470,0.00001218,0.94405003
9.75000000,0.00000000,0.00000000,0.00000000,0.00000000,1.02094427
9.75000000,0.50000000,0.03387146,-0.06103516,-0.00019482,1.10696376
9.75000000,1.00000000,0.07650452,-0.00381470,-0.00001218,1.20767884
9.75000000,1.50000000,0.13729858,0.00762939,0.00002435,1.33993482
9.75000000,2.00000000,0.00000000,0.00000000,0.00000000,1.02094427
9.75000000,2.50000000,0.00000000,0.00000000,0.00000000,1.02094427
9.75000000,3.00000000,0.00000000,0.00000000,0.00000000,1.02094427
10.00000000,-3.00000000,-0.12759705,0.01907349,0.00006088,0.64439747
10.00000000,-2.50000000,-0.11527710,-0.11825562,-0.00037746,0.70368387
10.00000000,-2.00000000,-0.09970093,-0.03814697,-0.00012176,0.76587495
10.00000000,-1.50000000,-0.08083496,0.04196167,0.00013394,0.83160383
10.00000000,-1.00000000,-0.05837708,0.02288818,0.00007306,0.90179499
10.00000000,-0.50000000,-0.03179016,-0.03051758,-0.00009741,0.97776358
10.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.06169428
10.00000000,0.50000000,0.03927612,0.04196167,0.00013394,1.15786353
10.00000000,1.00000000,0.09187927,0.01144409,0.00003653,1.27684167
10.00000000,1.50000000,0.00000000,0.00000000,0.00000000,1.06169428
10.00000000,2.00000000,0.00000000,0.00000000,0.00000000,1.06169428
10.00000000,2.50000000,0.00000000,0.00000000,0.00000000,1.06169428
10.00000000,3.00000000,0.00000000,0.00000000,0.00000000,1.06169428
