t,x,y,z,vx,vy,vz,horiz_dist,speed
0.2150000000000001,3.177236527533042,-2.9492164261017263e-16,1.3755952029371932,-12.669659389351738,-1.3237229384839091e-15,2.887765546504937,2.822763472466958,12.99459344857582
0.2200000000000001,3.1139384116202256,-3.0153501440034317e-16,1.3899000746182997,-12.649600354344493,-1.3216271753740296e-15,2.834199098188932,2.8860615883797744,12.963220034112176
0.22500000000000012,3.050740390792043,-3.0813792828036107e-16,1.4039373530944879,-12.629621238071707,-1.3195397621541326e-15,2.7807281554330516,2.949259609207957,12.932122087715149
0.23000000000000012,2.987642067212349,-3.147304258160501e-16,1.4177075142633662,-12.609721338294454,-1.3174606254544657e-15,2.727352067433367,3.012357932787651,12.901299218651257
0.23500000000000013,2.924643046544647,-3.2131254820759184e-16,1.4312110307875734,-12.58989995738576,-1.3153896923871319e-15,2.674070190997306,3.075356953455353,12.870751039599917
0.24000000000000013,2.8617429379291326,-3.2788433629192374e-16,1.4444483721327062,-12.570156402288118,-1.313326890541651e-15,2.6208818904917677,3.1382570620708674,12.840477166441
0.24500000000000013,2.798941353959953,-3.344458305451153e-16,1.4574200046049868,-12.550489984471797,-1.3112721479806036e-15,2.567786537791893,3.201058646040047,12.810477218042744
0.2500000000000001,2.7362379106626697,-3.409970710847227e-16,1.4701263913886788,-12.53090001989393,-1.3092253932353572e-15,2.514783512230477,3.2637620893373303,12.780750816050048
0.2550000000000001,2.6736322274719257,-3.475380976721221e-16,1.4825679925832496,-12.511385828958376,-1.3071865553018719e-15,2.461872200548005,3.3263677725280743,12.751297584673159
0.2600000000000001,2.6111239272093094,-3.540689497148224e-16,1.494745265240285,-12.491946736476327,-1.305155563636585e-15,2.4090519968433,3.3888760727906906,12.722117150476812
0.2650000000000001,2.548712636061416,-3.605896662687574e-16,1.5066586634001595,-12.472582071627688,-1.3031323481523755e-15,2.3563223025247693,3.451287363938584,12.693209142169842
0.27000000000000013,2.4863979835580987,-3.671002860405582e-16,1.5183086381284627,-12.453291167923176,-1.301116839214605e-15,2.303682526262223,3.5136020164419013,12.664573190395295
0.27500000000000013,2.424179602550907,-3.7360084738980574e-16,1.5296956375521877,-12.434073363167176,-1.2991089676372363e-15,2.2511320839392686,3.575820397449093,12.636208927521112
0.28000000000000014,2.3620571291917107,-3.800913883312644e-16,1.5408201068956817,-12.414927999421304,-1.2971086646790264e-15,2.1986703986062492,3.6379428708082893,12.608115987431367
0.28500000000000014,2.3000302029115027,-3.8657194653709654e-16,1.5516824885163638,-12.39585442296869,-1.2951158620397959e-15,2.1462969004337227,3.6999697970884973,12.580294005318152
0.29000000000000015,2.2380984663993804,-3.9304255933905857e-16,1.5622832219402103,-12.37685198427898,-1.2931304918567708e-15,2.0940110266664616,3.7619015336006196,12.55274261747413
0.29500000000000015,2.1762615655816973,-3.9950326373067916e-16,1.5726227438970122,-12.357920037974022,-1.2911524867009983e-15,2.041812221577963,3.8237384344183027,12.525461461085774
0.30000000000000016,2.1145191496013873,-4.0595409636941936e-16,1.5827014883554056,-12.33905794279425,-1.2891817795738347e-15,1.9896999364254506,3.8854808503986127,12.49845017402739
0.30500000000000016,2.0528708707974554,-4.1239509357881566e-16,1.5925198865576793,-12.32026506156575,-1.287218303903504e-15,1.9376736294053614,3.9471291292025446,12.47170839465591
0.31000000000000016,1.991316384684629,-4.188262913506057e-16,1.6020783670543608,-12.301540761167997,-1.2852619935417274e-15,1.8857327656092948,4.0086836153153715,12.445235761606536
0.31500000000000017,1.9298553499331699,-4.252477253468377e-16,1.6113773557385822,-12.28288441250226,-1.2833127827604221e-15,1.8338768169804187,4.07014465006683,12.419031913589288
0.3200000000000002,1.8684874283488446,-4.316594309019631e-16,1.6204172758802304,-12.264295390460658,-1.2813706062484687e-15,1.7821052622703133,4.131512571651156,12.393096489186473
0.3250000000000002,1.8072122848530447,-4.380614430249136e-16,1.6291985481598825,-12.245773073895878,-1.2794353991085461e-15,1.7304175869962433,4.192787715146955,12.367429126651148
0.3300000000000002,1.746029587463059,-4.444537964011624e-16,1.6377215907025273,-12.227316845591512,-1.2775070968540342e-15,1.678813283398843,4.253970412536941,12.342029463706622
0.3350000000000002,1.6849390072724912,-4.508365253947697e-16,1.6459868191110782,-12.208926092233044,-1.2755856354059812e-15,1.6272918504002025,4.315060992727509,12.316897137347041
