distance_m,pitch_deg,velocity_mps,rpm,tof_s,apex_height_m,impact_z_m,impact_x_m,impact_y_m,valid
2.0,51.43488707686709,6.554813037718451,2053.604125976563,0.5057042179903408,1.7788405939737335,1.7788016959720034,0.0,0.0,True
2.25,48.059352947533434,6.901097695727725,2162.094116210938,0.5052338056960416,1.778833786982825,1.778800253925738,0.0,0.0,True
2.5,44.99732996525469,7.271929114304745,2278.274536132813,0.504787097878756,1.7788253866982597,1.7788004799773607,0.0,0.0,True
2.75,42.219967410976736,7.664884274921246,2401.386260986328,0.5043157320853742,1.7788129449567311,1.7788015137480937,0.0,0.0,True
3.0,39.70226132818599,8.077369695433909,2530.6167602539053,0.5038522700773775,1.7788061511692181,1.7788005925584685,0.0,0.0,True
3.25,37.4172843790986,8.507522452049649,2665.382385253906,0.5033793638580796,1.7788220911238073,1.7788016171044607,0.0,0.0,True
3.5,35.34003260720095,8.953637908617928,2805.1490783691406,0.5028930080978532,1.7788336463423504,1.77880232388138,0.0,0.0,True
3.75,33.44934881852004,9.413950549125683,2949.3637084960933,0.5024183437939231,1.7788396797408965,1.7788024231839468,0.0,0.0,True
4.0,31.72407581908283,9.887401063965086,3097.694396972656,0.5019385384151378,1.7788391217434112,1.778800422876778,0.0,0.0,True
4.25,30.144979796186583,10.373344126593434,3249.93896484375,0.5014281114843069,1.7788368321260593,1.778800935548299,0.0,0.0,True
4.5,28.69859708093933,10.870087276832685,3405.5671691894527,0.5009404621153274,1.7788287587829745,1.778800872795361,0.0,0.0,True
4.75,27.3695406231789,11.377240883562727,3564.4569396972665,0.5004500291554557,1.77881581691345,1.7788007443057043,0.0,0.0,True
5.0,26.14627013528363,11.893769989120724,3726.28402709961,0.4999772925686391,1.7788048100704714,1.7788022702955033,0.0,0.0,True
5.25,25.015321948361578,12.420222512269351,3891.220092773438,0.49946504084683746,1.7788214180158097,1.7788021774523355,0.0,0.0,True
5.5,24.330598216143468,12.766787217646211,3999.7978210449214,0.50779818130505,1.7791947079123334,1.7788019464027292,0.0,0.0,True
5.75,24.380606129170634,12.767396016271405,3999.988555908203,0.5327640027535192,1.7840182796717816,1.7788015020326418,0.0,0.0,True
6.0,24.488315480306067,12.767042913068794,3999.8779296875,0.5582108821260116,1.7942334485329157,1.7788001340574988,0.0,0.0,True
6.25,24.646032744468663,12.767383840298901,3999.9847412109375,0.5840743614060647,1.8093350254406764,1.778801899947211,0.0,0.0,True
6.5,24.85568130292871,12.766738513756199,3999.78256225586,0.6104849761119291,1.829228124206981,1.7788026554320355,0.0,0.0,True
6.75,25.107644249334808,12.767286432518873,3999.954223632813,0.6373303498165066,1.8536361957010008,1.7788006536399878,0.0,0.0,True
7.0,25.405768346227525,12.766835921536227,3999.813079833984,0.6647817332954246,1.8824432712931618,1.778801416967857,0.0,0.0,True
7.25,25.744283449796026,12.767420368216413,3999.9961853027344,0.6927542188985537,1.9155824374356263,1.7788035550083927,0.0,0.0,True
7.5,26.127036322580874,12.766884625426243,3999.828338623047,0.7214324473897523,1.953183087182437,1.7788001070875874,0.0,0.0,True
7.75,26.548256820771226,12.76734731238139,3999.9732971191406,0.7507216933159789,1.99518286833438,1.7788028947164023,0.0,0.0,True
8.0,27.013715088177914,12.7670672650138,3999.885559082031,0.7808213434876621,2.041862548290664,1.7788032059099472,0.0,0.0,True
8.25,27.519564362260397,12.767262080573865,3999.9465942382817,0.8116998655251486,2.093209384054533,1.7788024591202476,0.0,0.0,True
8.5,28.069651405559213,12.767298608491377,3999.958038330079,0.8435019519401976,2.14969860235556,1.7788014018623692,0.0,0.0,True
8.75,28.665899599344645,12.767274256546369,3999.9504089355473,0.8763276705622862,2.2115859771245914,1.7788027012083338,0.0,0.0,True
9.0,29.310232324886968,12.767396016271405,3999.988555908203,0.9102824927039024,2.279208532328728,1.778801865985906,0.0,0.0,True
9.25,30.008419725997012,12.767396016271405,3999.988555908203,0.945562644842661,2.353406183682514,1.7788032086050916,0.0,0.0,True
9.5,30.766231946485597,12.767262080573865,3999.9465942382817,0.982377857955712,2.434795079942951,1.7788066012408228,0.0,0.0,True
9.75,31.58943913016354,12.767396016271405,3999.988555908203,1.0209442657174361,2.5244899406221455,1.7788081246778369,0.0,0.0,True
10.0,32.4915049459228,12.767237728628857,3999.9389648437505,1.0616942806869931,2.6238647900881955,1.778801246453344,0.0,0.0,True
