robot_x,robot_y,distance_m,valid,pitch_deg,velocity_mps,rpm,tof_s,impact_x_m,impact_y_m,impact_z_m,yaw_deg
7.0,-2.0,7.2801,True,25.7885,12.7671,3999.9,0.6962,0.0,0.0,1.7788,164.0546
7.0,-1.0,7.0711,True,25.4981,12.7668,3999.8,0.6727,0.0,0.0,1.7788,171.8699
7.0,0.0,7.0,True,25.4058,12.7668,3999.8,0.6648,0.0,0.0,1.7788,-180.0
7.0,1.0,7.0711,True,25.4981,12.7668,3999.8,0.6727,0.0,0.0,1.7788,-171.8699
7.0,2.0,7.2801,True,25.7885,12.7671,3999.9,0.6962,0.0,0.0,1.7788,-164.0546
7.0,3.0,7.6158,True,26.3175,12.7669,3999.8,0.7349,0.0,0.0,1.7788,-156.8014
7.0,4.0,8.0623,True,27.1349,12.7673,4000.0,0.7884,0.0,0.0,1.7788,-150.2551
7.0,5.0,8.6023,True,28.3082,12.7672,3999.9,0.8568,0.0,0.0,1.7788,-144.4623
8.0,-5.0,9.434,True,30.5604,12.7672,3999.9,0.9725,0.0,0.0,1.7788,147.9946
8.0,-4.0,8.9443,True,29.1621,12.7674,4000.0,0.9026,0.0,0.0,1.7788,153.4349
8.0,-3.0,8.544,True,28.1716,12.7671,3999.9,0.8492,0.0,0.0,1.7788,159.444
8.0,-2.0,8.2462,True,27.5119,12.7672,3999.9,0.8112,0.0,0.0,1.7788,165.9638
8.0,-1.0,8.0623,True,27.1349,12.7673,4000.0,0.7884,0.0,0.0,1.7788,172.875
8.0,0.0,8.0,True,27.0137,12.7671,3999.9,0.7808,0.0,0.0,1.7788,-180.0
8.0,1.0,8.0623,True,27.1349,12.7673,4000.0,0.7884,0.0,0.0,1.7788,-172.875
8.0,2.0,8.2462,True,27.5119,12.7672,3999.9,0.8112,0.0,0.0,1.7788,-165.9638
8.0,3.0,8.544,True,28.1716,12.7671,3999.9,0.8492,0.0,0.0,1.7788,-159.444
8.0,4.0,8.9443,True,29.1621,12.7674,4000.0,0.9026,0.0,0.0,1.7788,-153.4349
8.0,5.0,9.434,True,30.5604,12.7672,3999.9,0.9725,0.0,0.0,1.7788,-147.9946
