Timestamp,Voltage,Position,Velocity
9.655236,0.000037,448.280273,0.000000
9.674788,0.019589,448.280273,0.000000
9.695546,0.040347,448.280273,0.000000
9.715153,0.059954,448.280273,0.000000
9.734426,0.079227,448.280273,0.000000
9.754479,0.099280,448.280273,0.000000
9.775273,0.120074,448.280273,0.000000
9.796031,0.140832,448.280273,0.000000
9.815638,0.160439,448.280273,0.000000
9.835561,0.180362,448.280273,0.000000
9.854686,0.199487,448.280273,0.000000
9.875314,0.220115,448.281738,0.253906
9.894661,0.239462,448.284668,0.179688
9.914862,0.259663,448.291504,0.486328
9.935026,0.279827,448.302246,0.568359
9.955375,0.300176,448.314453,0.664063
9.974593,0.319394,448.327637,0.693359
9.995091,0.339892,448.345703,1.191406
10.015514,0.360315,448.367676,1.208984
10.034565,0.379366,448.389160,1.078125
10.055082,0.399883,448.416504,1.562500
10.076859,0.421660,448.444824,1.343750
10.095409,0.440210,448.476563,1.558594
10.114646,0.459447,448.514160,1.980469
10.135273,0.480074,448.553223,1.984375
10.155437,0.500238,448.598145,2.369141
10.175768,0.520569,448.644531,2.486328
10.195153,0.539954,448.694824,2.566406
10.214537,0.559338,448.747559,2.662109
10.234701,0.579502,448.805176,3.031250
10.254401,0.599202,448.866211,3.126953
10.274250,0.619051,448.931641,3.474609
10.295082,0.639883,449.000488,3.656250
10.314540,0.659341,449.074219,3.849609
10.335595,0.680396,449.152344,3.984375
10.355239,0.700040,449.232910,4.142578
10.375848,0.720649,449.319336,4.453125
10.394194,0.738995,449.408691,4.542969
10.414469,0.759270,449.500488,4.677734
10.435041,0.779842,449.596191,5.078125
10.454723,0.799524,449.694336,4.955078
10.474738,0.819539,449.793945,5.181641
10.494346,0.839147,449.896484,5.304688
10.515233,0.860034,450.001953,5.412109
10.534692,0.879493,450.114746,5.724609
10.554336,0.899137,450.232422,5.683594
10.575762,0.920563,450.345703,6.128906
10.595202,0.940003,450.466309,6.214844
10.614661,0.959462,450.589355,6.351563
10.634880,0.979681,450.717773,6.373047
10.655100,0.999901,450.848633,6.742188
10.675078,1.019879,450.984375,6.857422
10.695168,1.039969,451.125488,7.378906
10.714905,1.059706,451.266602,7.269531
10.734772,1.079573,451.412109,7.263672
10.754361,1.099162,451.558105,7.582031
10.774580,1.119381,451.708496,7.630859
10.794893,1.139694,451.862793,7.851563
10.815520,1.160321,452.023438,8.287109
10.834775,1.179576,452.189941,8.296875
10.856479,1.201280,452.354980,8.386719
10.875530,1.220331,452.523438,8.650391
10.895471,1.240272,452.694336,8.794922
10.914985,1.259786,452.868164,8.869141
10.936188,1.280989,453.048828,9.304688
10.955610,1.300411,453.236328,9.371094
10.976423,1.321224,453.423828,9.585938
10.997180,1.341981,453.612793,9.769531
11.017159,1.361960,453.804688,9.880859
11.064665,1.409466,454.409180,10.421875
